Квартира,Корпус,Этаж,Комнат,Планировка,"Площадь, м²","Цена за м², руб.","Цена, руб.","Цена продажи, руб.","Скидка, руб.",Менеджер,Дата сделки,Дата обращения,Дней в работе,Вид
М-ГП4-Б-070,ГП4,8,3,С1Л23СКЛ,94.15,"120,389","11,334,641","11,084,641",250000,Филипп,8/21/2022,8/15/2022,6,на лес
М-ГП4-Б-071,ГП4,8,2,Т1ЛК2,63.12,"160,853","10,153,018","10,153,018",,Саша,8/19/2022,8/7/2022,12,на лес
М-ГП4-Б-072,ГП4,8,1,СЛ1К,42.34,"110,391","4,673,964","4,673,964",,Иван,8/18/2022,7/14/2022,35,на лес
М-ГП4-Б-073,ГП4,9,1,С1ЛКТ,47.81,"136,348","6,518,819","6,268,819",250000,Иван,6/24/2022,6/3/2022,21,во двор
М-ГП4-Б-074,ГП4,9,3,С1Л23СКЛ,94.15,"143,166","13,479,067","13,479,067",,Саша,7/30/2022,7/30/2022,0,на лес
М-ГП4-Б-075,ГП4,9,2,Т1ЛК2,63.12,"235,018","14,834,321",,,,,,,на лес
М-ГП4-Б-076,ГП4,9,1,СЛ1К,42.34,"150,324","6,364,725",,,,,,,на лес
М-ГП4-Б-077,ГП4,10,1,С1ЛКТ,47.81,"246,769","11,798,009","11,748,009","50,000",Лиана,7/5/2022,5/27/2022,39,во двор
М-ГП4-Б-078,ГП4,10,3,С1Л23СКЛ,94.15,"232,625","21,901,605","21,901,605",,Филипп,7/18/2022,7/18/2022,0,на лес
М-ГП4-Б-079,ГП4,10,2,Т1ЛК2,63.12,"181,516","11,457,317","11,457,317",,Саша,8/9/2022,7/30/2022,10,на лес
М-ГП4-Б-080,ГП4,10,1,СЛ1К,42.34,"285,018","12,067,653",,,,,,,на лес
М-ГП4-В-081,ГП4,6,3,СТ12ЛК3С,92.69,"53,641","4,971,983","4,521,983",450000,Филипп,8/8/2022,7/25/2022,14,окна в окна
М-ГП4-В-082,ГП4,2,3,СТ12ЛК3С,92.69,"26,497","2,455,988",,,,,,,окна в окна
М-ГП4-В-083,ГП4,3,3,СТ12ЛК3С,92.69,"31,997","2,965,801",,,,,,,окна в окна
М-ГП4-В-084,ГП4,4,3,СТ12ЛК3С,92.69,"36,957","3,425,500",,,,,,,окна в окна
М-ГП4-В-085,ГП4,5,3,СТ12ЛК3С,92.69,"42,782","3,965,444",,,,,,,окна в окна
М-ГП4-В-086,ГП4,7,3,СТ12ЛК3С,92.69,"72,820","6,749,726",,,,,,,окна в окна
М-ГП4-В-087,ГП4,8,3,СТ12ЛК3С,92.69,"101,560","9,413,589",,,,,,,окна в окна
М-ГП4-В-088,ГП4,9,3,СТ12ЛК3С,92.69,"141,321","13,099,009",,,,,,,окна в окна
М-ГП4-В-089,ГП4,10,3,СТ12ЛК3С,92.69,"166,995","15,478,777",,,,,,,окна в окна
М-ГП4-В-090,ГП4,10,3,СКЛ12С3ЛТ,105.78,"245,810","26,001,736","25,851,736","150,000",Иван,7/1/2022,6/3/2022,28,на лес
М-ГП4-В-091,ГП4,6,3,СКЛ12С3ЛТ,105.78,"64,855","6,860,311","6,710,311","150,000",Миша,7/8/2022,6/20/2022,18,на лес
М-ГП4-В-092,ГП4,9,3,СКЛ12С3ЛТ,105.78,"152,292","16,109,480","16,059,480","50,000",Лиана,7/29/2022,7/18/2022,11,на лес
М-ГП4-В-093,ГП4,8,3,СКЛ12С3ЛТ,105.78,"112,918","11,944,463","11,844,463","100,000",Саша,8/8/2022,7/18/2022,21,на лес
М-ГП4-В-094,ГП4,2,3,СКЛ12С3ЛТ,105.78,"32,905","3,480,691","3,480,691",,Саша,8/9/2022,8/7/2022,2,на лес
М-ГП4-В-095,ГП4,5,3,СКЛ12С3ЛТ,105.78,"62,031","6,561,606","6,561,606",,Саша,8/9/2022,8/2/2022,7,на лес
М-ГП4-В-096,ГП4,3,3,СКЛ12С3ЛТ,105.78,"38,092","4,029,335","3,779,335",250000,Филипп,8/9/2022,7/28/2022,12,на лес
М-ГП4-В-097,ГП4,7,3,СКЛ12С3ЛТ,105.78,"85,382","9,031,730","8,881,730","150,000",Миша,8/22/2022,8/19/2022,3,на лес
М-ГП4-В-098,ГП4,4,3,СКЛ12С3ЛТ,105.78,"74,684","7,900,066","7,600,066","300,000",Миша,8/23/2022,8/13/2022,10,на лес
М-ГП4-В-099,ГП4,5,2,СКЛ12С,61.45,"78,418","4,818,794","4,568,794","250,000",Миша,6/30/2022,5/27/2022,34,во двор
М-ГП4-В-100,ГП4,9,2,СКЛ12С,61.45,"223,826","13,754,135","13,754,135",,Лиана,6/26/2022,6/20/2022,6,во двор
М-ГП4-В-101,ГП4,10,2,СКЛ12С,61.45,"221,547","13,614,077","13,614,077",,Миша,8/9/2022,7/29/2022,11,во двор
М-ГП4-В-102,ГП4,7,2,СКЛ12С,61.45,"82,041","5,041,418","5,041,418",,Саша,8/22/2022,8/3/2022,19,во двор
М-ГП4-В-103,ГП4,2,2,СКЛ12С,61.45,"32,547","2,000,013",,,,,,,во двор
М-ГП4-В-104,ГП4,4,2,СКЛ12С,61.45,"50,148","3,081,618",,,,,,,во двор
М-ГП4-В-105,ГП4,3,2,СКЛ12С,61.45,"61,582","3,784,232",,,,,,,во двор
М-ГП4-В-106,ГП4,6,2,СКЛ12С,61.45,"70,404","4,326,313",,,,,,,во двор
М-ГП4-В-107,ГП4,8,2,СКЛ12С,61.45,"129,856","7,979,631",,,,,,,во двор
М-ГП4-В-108,ГП4,4,2,ТКЛ12С,58.53,"48,713","2,851,179","2,851,179",,Иван,6/3/2022,5/28/2022,6,на лес
М-ГП4-В-109,ГП4,8,2,ТКЛ12С,58.53,"98,190","5,747,034","5,697,034","50,000",Лиана,6/6/2022,5/22/2022,15,на лес
М-ГП4-В-110,ГП4,5,2,ТКЛ12С,58.53,"59,077","3,457,768","3,457,768",,Иван,6/27/2022,5/24/2022,34,на лес
М-ГП4-В-111,ГП4,6,2,ТКЛ12С,58.53,"95,102","5,566,296","5,566,296",,Иван,7/5/2022,6/25/2022,10,на лес
М-ГП4-В-112,ГП4,10,2,ТКЛ12С,58.53,"172,873","10,118,244","10,118,244",,Лиана,7/17/2022,6/20/2022,27,на лес
М-ГП4-В-113,ГП4,9,2,ТКЛ12С,58.53,"175,136","10,250,719","10,000,719",250000,Филипп,8/21/2022,8/12/2022,9,на лес
М-ГП4-В-114,ГП4,2,2,ТКЛ12С,58.53,"34,671","2,029,294","2,029,294",,Миша,8/22/2022,8/11/2022,11,на лес
М-ГП4-В-115,ГП4,7,2,ТКЛ12С,58.53,"126,319","7,393,433","7,393,433",,Саша,8/24/2022,8/7/2022,17,на лес
М-ГП4-В-116,ГП4,3,2,ТКЛ12С,58.53,"41,351","2,420,272",,,,,,,на лес
